Round,Avg_Train_Loss,Val_Loss,F1_Score,Accuracy,Balanced_Acc,Confusion_Matrix,Balanced_F1,Balanced_Acc,Classification_Report,Model
1,0.6854690091218799,1.0722974492357922,0.26520344701690773,0.26551373346897256,0.5195494493858535,"[[602, 3526], [84, 703]]",0.4482332428435852,0.525,"              precision    recall  f1-score   support

           0       0.88      0.15      0.25      4128
           1       0.17      0.89      0.28       787

    accuracy                           0.27      4915
   macro avg       0.52      0.52      0.27      4915
weighted avg       0.76      0.27      0.25      4915
",TRANSFORMERNN
2,0.45276318817879213,1.1618911345283707,0.2320266470696748,0.23621566632756866,0.5324453879908986,"[[399, 3729], [25, 762]]",0.4221537367391691,0.532,"              precision    recall  f1-score   support

           0       0.94      0.10      0.18      4128
           1       0.17      0.97      0.29       787

    accuracy                           0.24      4915
   macro avg       0.56      0.53      0.23      4915
weighted avg       0.82      0.24      0.19      4915
",TRANSFORMERNN
3,0.3517008591975484,1.0993447923041009,0.26609124193919814,0.26754832146490337,0.5536694886872926,"[[548, 3580], [20, 767]]",0.4562460986267166,0.554,"              precision    recall  f1-score   support

           0       0.96      0.13      0.23      4128
           1       0.18      0.97      0.30       787

    accuracy                           0.27      4915
   macro avg       0.57      0.55      0.27      4915
weighted avg       0.84      0.27      0.24      4915
",TRANSFORMERNN
4,0.27563381811071724,1.0969796885143628,0.2633738474849941,0.26531027466937945,0.5579933241728475,"[[526, 3602], [9, 778]]",0.45477661225509564,0.5569999999999999,"              precision    recall  f1-score   support

           0       0.98      0.13      0.23      4128
           1       0.18      0.99      0.30       787

    accuracy                           0.27      4915
   macro avg       0.58      0.56      0.26      4915
weighted avg       0.85      0.27      0.24      4915
",TRANSFORMERNN
5,0.2569088198031697,1.1223120015937011,0.26009474026535195,0.2624618514750763,0.5593827876441791,"[[506, 3622], [3, 784]]",0.4506011215656383,0.556,"              precision    recall  f1-score   support

           0       0.99      0.12      0.22      4128
           1       0.18      1.00      0.30       787

    accuracy                           0.26      4915
   macro avg       0.59      0.56      0.26      4915
weighted avg       0.86      0.26      0.23      4915
",TRANSFORMERNN
6,0.22388947123868597,1.0956304112038056,0.2701948990517977,0.2718209562563581,0.5649544930705357,"[[552, 3576], [3, 784]]",0.4578904051529981,0.56,"              precision    recall  f1-score   support

           0       0.99      0.13      0.24      4128
           1       0.18      1.00      0.30       787

    accuracy                           0.27      4915
   macro avg       0.59      0.56      0.27      4915
weighted avg       0.86      0.27      0.25      4915
",TRANSFORMERNN
7,0.2134237995371222,1.0776513102766756,0.2822519956103309,0.2832146490335707,0.5727658387754498,"[[606, 3522], [1, 786]]",0.4717871853855402,0.569,"              precision    recall  f1-score   support

           0       1.00      0.15      0.26      4128
           1       0.18      1.00      0.31       787

    accuracy                           0.28      4915
   macro avg       0.59      0.57      0.28      4915
weighted avg       0.87      0.28      0.26      4915
",TRANSFORMERNN
8,0.20179205389427288,1.082304016336218,0.28567467936305385,0.28646998982706,0.5747038232715739,"[[622, 3506], [1, 786]]",0.4823833748847542,0.575,"              precision    recall  f1-score   support

           0       1.00      0.15      0.26      4128
           1       0.18      1.00      0.31       787

    accuracy                           0.29      4915
   macro avg       0.59      0.57      0.29      4915
weighted avg       0.87      0.29      0.27      4915
",TRANSFORMERNN
9,0.19142276522132665,1.0808964712279183,0.29268165983321337,0.29318413021363177,0.5787009162948298,"[[655, 3473], [1, 786]]",0.48761534725594946,0.578,"              precision    recall  f1-score   support

           0       1.00      0.16      0.27      4128
           1       0.18      1.00      0.31       787

    accuracy                           0.29      4915
   macro avg       0.59      0.58      0.29      4915
weighted avg       0.87      0.29      0.28      4915
",TRANSFORMERNN
10,0.17802360204713685,1.0690367500503342,0.3067125534986984,0.30681586978636827,0.5857878264038691,"[[724, 3404], [3, 784]]",0.49894972153167216,0.584,"              precision    recall  f1-score   support

           0       1.00      0.18      0.30      4128
           1       0.19      1.00      0.32       787

    accuracy                           0.31      4915
   macro avg       0.59      0.59      0.31      4915
weighted avg       0.87      0.31      0.30      4915
",TRANSFORMERNN
