Round,Avg_Train_Loss,Val_Loss,F1_Score,Accuracy,Balanced_Acc,Confusion_Matrix,Balanced_F1,Balanced_Acc,Classification_Report,Model
1,0.809799978,0.679246482,0.545009339,0.839471007,0.543978951,"[[4040, 88], [701, 86]]",0.445987445,0.547,"              precision    recall  f1-score   support

           0       0.85      0.98      0.91      4128
           1       0.49      0.11      0.18       787

    accuracy                           0.84      4915
   macro avg       0.67      0.54      0.55      4915
weighted avg       0.79      0.84      0.79      4915
",DEEPNN
2,0.571729848,0.680079289,0.667193504,0.834994914,0.654952418,"[[3797, 331], [480, 307]]",0.63411117,0.66,"              precision    recall  f1-score   support

           0       0.89      0.92      0.90      4128
           1       0.48      0.39      0.43       787

    accuracy                           0.83      4915
   macro avg       0.68      0.65      0.67      4915
weighted avg       0.82      0.83      0.83      4915
",DEEPNN
3,0.420905954,0.726866985,0.14596677,0.166225839,0.503633721,"[[30, 4098], [0, 787]]",0.342161107,0.504,"              precision    recall  f1-score   support

           0       1.00      0.01      0.01      4128
           1       0.16      1.00      0.28       787

    accuracy                           0.17      4915
   macro avg       0.58      0.50      0.15      4915
weighted avg       0.87      0.17      0.06      4915
",DEEPNN
4,0.358274463,0.757202919,0.139884262,0.161546287,0.500847868,"[[7, 4121], [0, 787]]",0.333333333,0.5,"              precision    recall  f1-score   support

           0       1.00      0.00      0.00      4128
           1       0.16      1.00      0.28       787

    accuracy                           0.16      4915
   macro avg       0.58      0.50      0.14      4915
weighted avg       0.87      0.16      0.05      4915
",DEEPNN
5,0.284533309,0.775048038,0.140149902,0.161749746,0.500968992,"[[8, 4120], [0, 787]]",0.333333333,0.5,"              precision    recall  f1-score   support

           0       1.00      0.00      0.00      4128
           1       0.16      1.00      0.28       787

    accuracy                           0.16      4915
   macro avg       0.58      0.50      0.14      4915
weighted avg       0.87      0.16      0.05      4915
",DEEPNN
6,0.275466841,0.804914418,0.139352657,0.161139369,0.50060562,"[[5, 4123], [0, 787]]",0.333333333,0.5,"              precision    recall  f1-score   support

           0       1.00      0.00      0.00      4128
           1       0.16      1.00      0.28       787

    accuracy                           0.16      4915
   macro avg       0.58      0.50      0.14      4915
weighted avg       0.87      0.16      0.05      4915
",DEEPNN
7,0.268560199,0.875762385,0.138554437,0.160528993,0.500242248,"[[2, 4126], [0, 787]]",0.333333333,0.5,"              precision    recall  f1-score   support

           0       1.00      0.00      0.00      4128
           1       0.16      1.00      0.28       787

    accuracy                           0.16      4915
   macro avg       0.58      0.50      0.14      4915
weighted avg       0.87      0.16      0.05      4915
",DEEPNN
8,0.25522181,0.847587396,0.138554437,0.160528993,0.500242248,"[[2, 4126], [0, 787]]",0.333333333,0.5,"              precision    recall  f1-score   support

           0       1.00      0.00      0.00      4128
           1       0.16      1.00      0.28       787

    accuracy                           0.16      4915
   macro avg       0.58      0.50      0.14      4915
weighted avg       0.87      0.16      0.05      4915
",DEEPNN
9,0.23969855,0.85879272,0.138288146,0.160325534,0.500121124,"[[1, 4127], [0, 787]]",0.333333333,0.5,"              precision    recall  f1-score   support

           0       1.00      0.00      0.00      4128
           1       0.16      1.00      0.28       787

    accuracy                           0.16      4915
   macro avg       0.58      0.50      0.14      4915
weighted avg       0.87      0.16      0.04      4915
",DEEPNN
10,0.231994738,0.808828304,0.138288146,0.160325534,0.500121124,"[[1, 4127], [0, 787]]",0.333333333,0.5,"              precision    recall  f1-score   support

           0       1.00      0.00      0.00      4128
           1       0.16      1.00      0.28       787

    accuracy                           0.16      4915
   macro avg       0.58      0.50      0.14      4915
weighted avg       0.87      0.16      0.04      4915
",DEEPNN
11,0.246492999,0.838219617,0.138554437,0.160528993,0.500242248,"[[2, 4126], [0, 787]]",0.333333333,0.5,"              precision    recall  f1-score   support

           0       1.00      0.00      0.00      4128
           1       0.16      1.00      0.28       787

    accuracy                           0.16      4915
   macro avg       0.58      0.50      0.14      4915
weighted avg       0.87      0.16      0.05      4915
",DEEPNN
12,0.250547678,0.888289845,0.138021747,0.160122075,0.5,"[[0, 4128], [0, 787]]",0.333333333,0.5,"              precision    recall  f1-score   support

           0       0.00      0.00      0.00      4128
           1       0.16      1.00      0.28       787

    accuracy                           0.16      4915
   macro avg       0.08      0.50      0.14      4915
weighted avg       0.03      0.16      0.04      4915
",DEEPNN
13,0.211841187,0.880053828,0.138021747,0.160122075,0.5,"[[0, 4128], [0, 787]]",0.333333333,0.5,"              precision    recall  f1-score   support

           0       0.00      0.00      0.00      4128
           1       0.16      1.00      0.28       787

    accuracy                           0.16      4915
   macro avg       0.08      0.50      0.14      4915
weighted avg       0.03      0.16      0.04      4915
",DEEPNN
14,0.222827285,0.842641964,0.138554437,0.160528993,0.500242248,"[[2, 4126], [0, 787]]",0.333333333,0.5,"              precision    recall  f1-score   support

           0       1.00      0.00      0.00      4128
           1       0.16      1.00      0.28       787

    accuracy                           0.16      4915
   macro avg       0.58      0.50      0.14      4915
weighted avg       0.87      0.16      0.05      4915
",DEEPNN
15,0.218774547,0.870203351,0.138288146,0.160325534,0.500121124,"[[1, 4127], [0, 787]]",0.333333333,0.5,"              precision    recall  f1-score   support

           0       1.00      0.00      0.00      4128
           1       0.16      1.00      0.28       787

    accuracy                           0.16      4915
   macro avg       0.58      0.50      0.14      4915
weighted avg       0.87      0.16      0.04      4915
",DEEPNN
16,0.214795892,0.863907017,0.138554437,0.160528993,0.500242248,"[[2, 4126], [0, 787]]",0.333333333,0.5,"              precision    recall  f1-score   support

           0       1.00      0.00      0.00      4128
           1       0.16      1.00      0.28       787

    accuracy                           0.16      4915
   macro avg       0.58      0.50      0.14      4915
weighted avg       0.87      0.16      0.05      4915
",DEEPNN
17,0.211621263,0.791238998,0.138820619,0.160732452,0.500363372,"[[3, 4125], [0, 787]]",0.335551712,0.501,"              precision    recall  f1-score   support

           0       1.00      0.00      0.00      4128
           1       0.16      1.00      0.28       787

    accuracy                           0.16      4915
   macro avg       0.58      0.50      0.14      4915
weighted avg       0.87      0.16      0.05      4915
",DEEPNN
18,0.217296737,0.78664035,0.138554437,0.160528993,0.500242248,"[[2, 4126], [0, 787]]",0.333333333,0.5,"              precision    recall  f1-score   support

           0       1.00      0.00      0.00      4128
           1       0.16      1.00      0.28       787

    accuracy                           0.16      4915
   macro avg       0.58      0.50      0.14      4915
weighted avg       0.87      0.16      0.05      4915
",DEEPNN
